Team,R32_prob,R16_prob,QF_prob,SF_prob,Final_prob,Winner_prob
Spain,0.9976,0.9252,0.7776,0.5836,0.4524,0.382
Netherlands,0.96,0.7016,0.4312,0.1972,0.1056,0.0784
Brazil,0.9584,0.6036,0.3716,0.222,0.0892,0.0768
Ecuador,0.9764,0.7108,0.3952,0.1688,0.0852,0.0656
Switzerland,0.972,0.5132,0.264,0.1288,0.0496,0.0436
Uruguay,0.95,0.7052,0.3924,0.176,0.0668,0.0404
Belgium,0.9476,0.6052,0.2028,0.0888,0.0384,0.0336
Turkey,0.8316,0.45,0.2244,0.1064,0.0376,0.0308
Germany,0.9476,0.5812,0.2784,0.1004,0.04,0.026
Mexico,0.9016,0.4036,0.1872,0.0776,0.024,0.0212
Japan,0.8924,0.5284,0.252,0.0776,0.0308,0.0208
France,0.9772,0.818,0.5244,0.3476,0.2232,0.0196
Croatia,0.9524,0.5536,0.28,0.1416,0.0608,0.0172
England,0.9824,0.7524,0.4968,0.2876,0.1628,0.0164
Morocco,0.85,0.3788,0.1736,0.0728,0.0196,0.0164
Colombia,0.958,0.6756,0.4032,0.2192,0.1076,0.0148
Norway,0.87,0.5616,0.2556,0.1228,0.0492,0.0144
Portugal,0.9196,0.5756,0.3036,0.1452,0.0616,0.0132
Canada,0.9484,0.3872,0.176,0.0704,0.0172,0.0128
Argentina,0.9828,0.7916,0.5156,0.3356,0.21,0.0112
Paraguay,0.7076,0.2844,0.1116,0.0412,0.0112,0.0112
Korea Republic,0.852,0.328,0.1324,0.0492,0.012,0.0092
Senegal,0.7372,0.3492,0.1284,0.0428,0.0112,0.0052
Austria,0.7904,0.356,0.1224,0.0492,0.014,0.004
Australia,0.664,0.2392,0.0824,0.0228,0.0044,0.004
Iran,0.8036,0.3112,0.0772,0.0196,0.0044,0.0024
Uzbekistan,0.5212,0.1492,0.044,0.0156,0.0016,0.0012
Panama,0.6296,0.1768,0.0448,0.0148,0.0012,0.0012
Czech Republic,0.6932,0.18,0.05,0.012,0.0012,0.0012
Scotland,0.6964,0.2188,0.0688,0.0216,0.002,0.0012
Algeria,0.5248,0.1484,0.0368,0.0072,0.0012,0.0012
USA,0.5636,0.1716,0.0556,0.0156,0.0016,0.0008
Jordan,0.3472,0.0792,0.018,0.0052,0.0012,0.0008
Iraq,0.114,0.0144,0.0016,0.0004,0.0004,0.0004
Ivory Coast,0.5188,0.1208,0.024,0.0036,0.0004,0.0004
New Zealand,0.4176,0.0728,0.01,0.0008,0.0004,0.0004
Haiti,0.208,0.0268,0.0012,0.0,0.0,0.0
Tunisia,0.3812,0.076,0.0148,0.0028,0.0,0.0
South Africa,0.3164,0.0332,0.0064,0.0,0.0,0.0
Curacao,0.174,0.0152,0.0008,0.0,0.0,0.0
Congo DR,0.2604,0.0552,0.01,0.0004,0.0,0.0
Egypt,0.5464,0.1128,0.0148,0.0028,0.0,0.0
Sweden,0.4252,0.0968,0.0176,0.002,0.0,0.0
Qatar,0.218,0.0124,0.0012,0.0,0.0,0.0
Saudi Arabia,0.2824,0.0544,0.0092,0.0,0.0,0.0
Ghana,0.0992,0.008,0.0012,0.0,0.0,0.0
Bosnia and Herzegovina,0.5012,0.0572,0.006,0.0004,0.0,0.0
Cabo Verde,0.2304,0.0296,0.0032,0.0,0.0,0.0
